"unitid","institution name","year","IC2009.Religious affiliation","DRVHR2009.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2009.Graduation rate - Bachelor degree within 6 years, total","DRVIC2009.Percent admitted - total","DRVIC2009.Admissions yield - total","IC2009.SAT Critical Reading 25th percentile score","IC2009.SAT Critical Reading 75th percentile score","IC2009.SAT Math 25th percentile score","IC2009.SAT Math 75th percentile score","IC2009.ACT Composite 25th percentile score","IC2009.ACT Composite 75th percentile score","F0809_F2.Total expenses","F0809_F2.Instruction-Total amount","F0809_F2.Value of endowment assets at the end of the fiscal year"
"220181","Fisk University","2009","Not applicable","51351","57","64","15","405","520","383","508","18","22","24174814","5665148","12141741"
"220206","Welch College","2009","Free Will Baptist Church","36911","47",,,,,,,,,"5313380","1574001","958343"
"220598","Lane College","2009","Christian Methodist Episcopal","41893","25","37","33",,,,,"16","19","27588102","6808675","1981168"
"220604","Le Moyne-Owen College","2009","Multiple Protestant Denomination","37395","16","72","22",,,,,"15","18","13404514","3584916","10898995"
"220701","Martin Methodist College","2009","United Methodist","46952","0","94","32","405","458","435","503","17","22","12842368","3611662","9875431"
"220710","Maryville College","2009","Presbyterian Church (USA)","58839","56","73","27","460","590","470","580","21","27","28072635","9029405","41163815"
"221351","Rhodes College","2009","Presbyterian Church (USA)","66247","79","42","20","570","680","580","700","26","30","61795049","24731430","229523237"
"221519","Sewanee-The University of the South","2009","Protestant Episcopal","78812","82","68","24","570","690","580","670","26","30","79335297","25461527","246098433"
"221731","Tennessee Wesleyan University","2009","United Methodist","43870","53","84","43","400","530","400","510","19","24","13352432","4301796","7689381"
"222983","Austin College","2009","Presbyterian Church (USA)","71585","74","80","30","560","680","570","670","24","28","42820598","16227144","109374334"
"224527","East Texas Baptist University","2009","Baptist","50375","42","53","51","420","510","450","540","19","23","20697710","6519247","49927074"
"225548","Howard Payne University","2009","Baptist","45277","41","59","41","410","570","440","550","18","24","19227120","7310204","37739902"
"225575","Huston-Tillotson University","2009","Multiple Protestant Denomination","46550","29","48","36","402","460","407","460","14","18","15262218","3656166","7735453"
"225885","Jarvis Christian College","2009","Christian Church (Disciples of Christ)","38805","11",,,,,,,,,"14764966","3054156","9221666"
"226587","McMurry University","2009","United Methodist","51343","39","57","36","410","540","440","550","17","24","24865265","9702602","58640584"
