"unitid","institution name","year","EF2015A.Level of student","EF2015A.Grand total","EF2015A.Grand total women","EF2015A.Asian total","EF2015A.Black or African American total","EF2015A.Hispanic total","IDX_EF"
"194392","Paul Smiths College of Arts and Science","2015","All students, Undergraduate total","885","326","3","23","36","-2"
"195173","St Francis College","2015","All students, Undergraduate total","2598","1502","106","500","512","-2"
"195216","St Lawrence University","2015","All students, Undergraduate total","2379","1297","44","79","106","-2"
"195304","Sarah Lawrence College","2015","All students, Undergraduate total","1348","975","58","50","133","-2"
"195474","Siena College","2015","All students, Undergraduate total","3117","1596","140","114","220","-2"
"195526","Skidmore College","2015","All students, Undergraduate total","2634","1607","146","104","220","-2"
"196042","Farmingdale State College","2015","All students, Undergraduate total","8648","3730","643","877","1425","-2"
"196219","SUNY at Purchase College","2015","All students, Undergraduate total","4077","2294","149","401","712","-2"
"196866","Union College","2015","All students, Undergraduate total","2269","1039","139","95","151","-2"
"197027","United States Merchant Marine Academy","2015","All students, Undergraduate total","904","155","67","25","91","-2"
"197036","United States Military Academy","2015","All students, Undergraduate total","4348","824","251","419","503","-2"
"197133","Vassar College","2015","All students, Undergraduate total","2435","1368","273","119","272","-2"
"197230","Wells College","2015","All students, Undergraduate total","555","370","9","83","63","-2"
"197911","Barton College","2015","All students, Undergraduate total","985","687","9","213","61","-2"
"197984","Belmont Abbey College","2015","All students, Undergraduate total","1495","805","18","323","20","-2"
"197993","Bennett College","2015","All students, Undergraduate total","583","575","1","477","19","-2"
"198066","Brevard College","2015","All students, Undergraduate total","729","331","6","94","22","-2"
"198215","Catawba College","2015","All students, Undergraduate total","1270","663","10","234","68","-2"
"198303","Chowan University","2015","All students, Undergraduate total","1522","827","2","1085","56","-2"
"198385","Davidson College","2015","All students, Undergraduate total","1784","900","96","122","136","-2"
"198598","Greensboro College","2015","All students, Undergraduate total","928","476","7","306","25","-2"
"198613","Guilford College","2015","All students, Undergraduate total","1917","1018","77","402","124","-2"
"198695","High Point University","2015","All students, Undergraduate total","4371","2606","66","234","183","-2"
"198756","Johnson C Smith University","2015","All students, Undergraduate total","1375","839","1","1086","66","-2"
"198808","Lees-McRae College","2015","All students, Undergraduate total","1033","678","12","73","37","-2"
"198862","Livingstone College","2015","All students, Undergraduate total","1262","624","1","1023","9","-2"
"198899","Mars Hill University","2015","All students, Undergraduate total","1395","710","13","300","46","-2"
"198950","Meredith College","2015","All students, Undergraduate total","1679","1677","53","177","57","-2"
"199069","University of Mount Olive","2015","All students, Undergraduate total","3251","2163","18","950","106","-2"
"199111","University of North Carolina at Asheville","2015","All students, Undergraduate total","3858","2162","56","159","188","-2"
"199209","North Carolina Wesleyan College","2015","All students, Undergraduate total","2119","1255","16","985","50","-2"
"199272","William Peace University","2015","All students, Undergraduate total","1038","643","16","370","54","-2"
"199582","Saint Augustine's University","2015","All students, Undergraduate total","810","384","1","767","5","-2"
"199607","Salem College","2015","All students, Undergraduate total","938","897","31","211","111","-2"
"199643","Shaw University","2015","All students, Undergraduate total","1509","856","1","872","4","-2"
"199698","St. Andrews University","2015","All students, Undergraduate total","623","349","8","79","7","-2"
"199865","Warren Wilson College","2015","All students, Undergraduate total","753","454","8","32","64","-2"
"200059","Dickinson State University","2015","All students, Undergraduate total","1310","784","10","56","72","-2"
"200156","University of Jamestown","2015","All students, Undergraduate total","889","461","14","51","61","-2"
"200226","Mayville State University","2015","All students, Undergraduate total","1091","623","5","82","59","-2"
"200572","Valley City State University","2015","All students, Undergraduate total","1278","772","6","48","59","-2"
"201371","Bluffton University","2015","All students, Undergraduate total","910","475","3","55","35","-2"
"201654","Cedarville University","2015","All students, Undergraduate total","3353","1760","68","53","94","-2"
"201690","Central State University","2015","All students, Undergraduate total","1792","986","2","1699","13","-2"
"201964","Ohio Christian University","2015","All students, Undergraduate total","3933","2448","18","1046","76","-2"
"202514","Defiance College","2015","All students, Undergraduate total","681","323","4","52","42","-2"
"202523","Denison University","2015","All students, Undergraduate total","2254","1280","88","150","226","-2"
"203128","Hiram College","2015","All students, Undergraduate total","1100","575","12","187","42","-2"
"203535","Kenyon College","2015","All students, Undergraduate total","1711","936","72","68","115","-2"
"203845","Marietta College","2015","All students, Undergraduate total","1246","472","15","68","31","-2"
"204185","University of Mount Union","2015","All students, Undergraduate total","2094","1047","13","117","44","-2"
"204501","Oberlin College","2015","All students, Undergraduate total","2912","1624","116","152","224","-2"
"204635","Ohio Northern University","2015","All students, Undergraduate total","2401","1090","23","76","20","-2"
"204671","Ohio State University-Lima Campus","2015","All students, Undergraduate total","999","568","19","42","25","-2"
"204909","Ohio Wesleyan University","2015","All students, Undergraduate total","1671","877","47","126","80","-2"
"205443","Shawnee State University","2015","All students, Undergraduate total","3729","2093","18","198","24","-2"
"206330","Urbana University","2015","All students, Undergraduate total","1816","949","11","172","11","-2"
"206491","Wilberforce University","2015","All students, Undergraduate total","620","386","0","495","3","-2"
"206507","Wilmington College","2015","All students, Undergraduate total","1112","595","4","121","7","-2"
"206525","Wittenberg University","2015","All students, Undergraduate total","1865","1067","18","134","52","-2"
"206589","The College of Wooster","2015","All students, Undergraduate total","2050","1126","95","167","96","-2"
"206613","Wright State University-Lake Campus","2015","All students, Undergraduate total","1158","602","7","44","25","-2"
"207351","Oklahoma Panhandle State University","2015","All students, Undergraduate total","1232","651","16","129","179","-2"
"207403","Oklahoma Baptist University","2015","All students, Undergraduate total","1906","1144","24","120","57","-2"
"207661","Rogers State University","2015","All students, Undergraduate total","4064","2515","48","119","188","-2"
"207689","St. Gregory's University","2015","All students, Undergraduate total","605","339","6","46","74","-2"
"207722","University of Science and Arts of Oklahoma","2015","All students, Undergraduate total","873","573","11","42","64","-2"
"207856","Southwestern Christian University","2015","All students, Undergraduate total","717","363","4","177","60","-2"
"209056","Lewis & Clark College","2015","All students, Undergraduate total","2209","1342","118","50","213","-2"
"209065","Linfield College-McMinnville Campus","2015","All students, Undergraduate total","1700","1020","79","34","218","-2"
"209506","Oregon Institute of Technology","2015","All students, Undergraduate total","4721","2205","281","73","394","-2"
"209922","Reed College","2015","All students, Undergraduate total","1430","779","78","31","160","-2"
"210304","Warner Pacific College","2015","All students, Undergraduate total","523","291","36","63","121","-2"
"210401","Willamette University","2015","All students, Undergraduate total","2123","1209","178","45","240","-2"
"210492","Bryn Athyn College of the New Church","2015","All students, Undergraduate total","274","128","7","56","26","-2"
"210571","Albright College","2015","All students, Undergraduate total","2239","1355","61","390","215","-2"
"210669","Allegheny College","2015","All students, Undergraduate total","1931","1041","43","111","133","-2"
"210906","The Art Institutes of York-PA","2015","All students, Undergraduate total","217","125","4","30","32","-2"
"211273","Bryn Mawr College","2015","All students, Undergraduate total","1346","1345","166","78","117","-2"
"211291","Bucknell University","2015","All students, Undergraduate total","3569","1860","156","120","218","-2"
"211468","Cedar Crest College","2015","All students, Undergraduate total","1388","1250","43","138","198","-2"
"211477","Central Penn College","2015","All students, Undergraduate total","1348","885","25","318","107","-2"
"211608","Cheyney University of Pennsylvania","2015","All students, Undergraduate total","686","345","2","564","36","-2"
"212009","Dickinson College","2015","All students, Undergraduate total","2420","1402","69","104","147","-2"
"212197","Elizabethtown College","2015","All students, Undergraduate total","1774","1102","36","52","63","-2"
"212577","Franklin and Marshall College","2015","All students, Undergraduate total","2249","1167","107","135","178","-2"
"212674","Gettysburg College","2015","All students, Undergraduate total","2447","1289","54","78","127","-2"
"212805","Grove City College","2015","All students, Undergraduate total","2444","1232","47","14","31","-2"
"212911","Haverford College","2015","All students, Undergraduate total","1233","635","120","87","117","-2"
"213251","Juniata College","2015","All students, Undergraduate total","1570","877","56","41","56","-2"
"213303","Keystone College","2015","All students, Undergraduate total","1409","861","12","90","81","-2"
"213358","La Roche College","2015","All students, Undergraduate total","1398","784","17","114","34","-2"
"213385","Lafayette College","2015","All students, Undergraduate total","2533","1237","90","123","162","-2"
"213668","Lycoming College","2015","All students, Undergraduate total","1285","681","14","111","76","-2"
"213996","Messiah College","2015","All students, Undergraduate total","2819","1713","59","76","115","-2"
"214157","Moravian College","2015","All students, Undergraduate total","1831","1010","25","76","157","-2"
"214175","Muhlenberg College","2015","All students, Undergraduate total","2397","1436","70","77","165","-2"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2015","All students, Undergraduate total","4175","1464","138","159","104","-2"
"214625","Pennsylvania State University-Penn State New Kensington","2015","All students, Undergraduate total","656","279","12","33","11","-2"
"214634","Pennsylvania State University-Penn State Shenango","2015","All students, Undergraduate total","508","366","3","33","8","-2"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2015","All students, Undergraduate total","493","170","6","14","21","-2"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2015","All students, Undergraduate total","1034","537","48","35","63","-2"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2015","All students, Undergraduate total","862","423","82","53","134","-2"
"214689","Pennsylvania State University-Penn State Altoona","2015","All students, Undergraduate total","3838","1697","101","279","220","-2"
"214698","Pennsylvania State University-Penn State Beaver","2015","All students, Undergraduate total","705","287","18","61","35","-2"
"214704","Pennsylvania State University-Penn State Berks","2015","All students, Undergraduate total","2906","1263","131","263","330","-2"
"214731","Pennsylvania State University-Penn State Brandywine","2015","All students, Undergraduate total","1457","633","157","206","78","-2"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2015","All students, Undergraduate total","577","240","28","109","38","-2"
"214801","Pennsylvania State University-Penn State Abington","2015","All students, Undergraduate total","3961","2102","621","493","368","-2"
"214810","Pennsylvania State University-Penn State Schuylkill","2015","All students, Undergraduate total","783","469","12","134","52","-2"
"214829","Pennsylvania State University-Penn State York","2015","All students, Undergraduate total","1087","479","54","61","65","-2"
"214883","Peirce College","2015","All students, Undergraduate total","1643","1182","26","1135","122","-2"
"215266","University of Pittsburgh-Bradford","2015","All students, Undergraduate total","1453","792","23","161","72","-2"
"215275","University of Pittsburgh-Greensburg","2015","All students, Undergraduate total","1562","806","59","87","87","-2"
"215284","University of Pittsburgh-Johnstown","2015","All students, Undergraduate total","2816","1268","36","98","35","-2"
"215798","Saint Vincent College","2015","All students, Undergraduate total","1652","778","24","81","51","-2"
"216278","Susquehanna University","2015","All students, Undergraduate total","2199","1207","38","129","128","-2"
"216287","Swarthmore College","2015","All students, Undergraduate total","1581","798","269","95","204","-2"
"216357","Thiel College","2015","All students, Undergraduate total","926","426","40","84","16","-2"
"216524","Ursinus College","2015","All students, Undergraduate total","1643","863","79","104","93","-2"
"216542","University of Valley Forge","2015","All students, Undergraduate total","852","451","9","123","131","-2"
"216667","Washington & Jefferson College","2015","All students, Undergraduate total","1350","654","29","60","47","-2"
"216807","Westminster College","2015","All students, Undergraduate total","1122","622","12","34","10","-2"
"217013","Wilson College","2015","All students, Undergraduate total","688","570","7","36","24","-2"
"217624","Allen University","2015","All students, Undergraduate total","625","338","0","611","1","-2"
"217721","Benedict College","2015","All students, Undergraduate total","2465","1195","0","2433","9","-2"
"217873","Claflin University","2015","All students, Undergraduate total","1851","1192","22","1704","33","-2"
"217907","Coker College","2015","All students, Undergraduate total","1203","735","4","382","39","-2"
"217998","Erskine College","2015","All students, Undergraduate total","622","284","7","81","23","-2"
"218070","Furman","2015","All students, Undergraduate total","2731","1545","53","149","108","-2"
"218229","Lander University","2015","All students, Undergraduate total","2659","1822","13","795","31","-2"
"218238","Limestone College","2015","All students, Undergraduate total","3065","1676","14","1421","99","-2"
"218399","Morris College","2015","All students, Undergraduate total","774","411","1","761","5","-2"
"218414","Newberry College","2015","All students, Undergraduate total","1064","491","5","269","42","-2"
"218539","Presbyterian College","2015","All students, Undergraduate total","1064","565","11","149","30","-2"
"218645","University of South Carolina-Aiken","2015","All students, Undergraduate total","3356","2137","39","875","139","-2"
"218654","University of South Carolina-Beaufort","2015","All students, Undergraduate total","1980","1275","28","427","130","-2"
"218742","University of South Carolina-Upstate","2015","All students, Undergraduate total","5636","3588","145","1530","270","-2"
"218919","Voorhees College","2015","All students, Undergraduate total","434","248","1","410","7","-2"
"218973","Wofford College","2015","All students, Undergraduate total","1660","837","41","126","49","-2"
"219000","Augustana University","2015","All students, Undergraduate total","1613","962","14","32","41","-2"
"219091","Dakota Wesleyan University","2015","All students, Undergraduate total","905","517","3","13","25","-2"
"219204","National American University-Rapid City","2015","All students, Undergraduate total","1298","986","10","406","78","-2"
"220181","Fisk University","2015","All students, Undergraduate total","806","525","6","709","25","-2"
"220206","Welch College","2015","All students, Undergraduate total","346","174","4","27","10","-2"
"220598","Lane College","2015","All students, Undergraduate total","1376","629","2","1329","4","-2"
"220604","Le Moyne-Owen College","2015","All students, Undergraduate total","945","607","0","932","4","-2"
"220701","Martin Methodist College","2015","All students, Undergraduate total","1098","655","5","124","21","-2"
"220710","Maryville College","2015","All students, Undergraduate total","1213","657","11","134","36","-2"
"221351","Rhodes College","2015","All students, Undergraduate total","2046","1158","123","131","92","-2"
"221519","Sewanee-The University of the South","2015","All students, Undergraduate total","1710","889","28","72","91","-2"
"221731","Tennessee Wesleyan University","2015","All students, Undergraduate total","1005","648","7","77","29","-2"
"222983","Austin College","2015","All students, Undergraduate total","1238","647","163","83","233","-2"
"224527","East Texas Baptist University","2015","All students, Undergraduate total","1233","667","6","256","131","-2"
"225548","Howard Payne University","2015","All students, Undergraduate total","1079","511","5","97","239","-2"
"225575","Huston-Tillotson University","2015","All students, Undergraduate total","968","546","2","653","218","-2"
"225885","Jarvis Christian College","2015","All students, Undergraduate total","863","445","0","716","91","-2"
"226587","McMurry University","2015","All students, Undergraduate total","1069","478","8","191","271","-2"
"227429","Paul Quinn College","2015","All students, Undergraduate total","424","239","0","339","74","-2"
"228042","Schreiner University","2015","All students, Undergraduate total","1182","683","12","45","407","-2"
"228343","Southwestern University","2015","All students, Undergraduate total","1515","861","62","73","328","-2"
"228468","Southwestern Adventist University","2015","All students, Undergraduate total","778","443","24","102","320","-2"
"228884","Texas College","2015","All students, Undergraduate total","853","334","2","745","66","-2"
"228981","Texas Lutheran University","2015","All students, Undergraduate total","1364","697","11","116","430","-2"
"229887","Wiley College","2015","All students, Undergraduate total","1172","691","1","976","44","-2"
"230047","Brigham Young University-Hawaii","2015","All students, Undergraduate total","2718","1619","139","9","150","-2"
"230630","Stevens-Henager College","2015","All students, Undergraduate total","189","97","1","8","23","-2"
"230816","Bennington College","2015","All students, Undergraduate total","704","455","17","11","44","-2"
"230834","Castleton University","2015","All students, Undergraduate total","1950","1003","15","38","44","-2"
"230931","Lyndon State College","2015","All students, Undergraduate total","1201","485","8","43","49","-2"
