"unitid","institution name","year","DRVGR2011_RV.Graduation rate - bachelor's degree within 6 years, total"
"209065","Linfield College-McMinnville Campus","2011","73"
"209506","Oregon Institute of Technology","2011","42"
"209922","Reed College","2011","80"
"210304","Warner Pacific College","2011","46"
"210401","Willamette University","2011","77"
"210492","Bryn Athyn College of the New Church","2011","30"
"210571","Albright College","2011","60"
"210669","Allegheny College","2011","80"
"210906","The Art Institutes of York-PA","2011",
"211273","Bryn Mawr College","2011","87"
"211291","Bucknell University","2011","91"
"211468","Cedar Crest College","2011","50"
"211477","Central Penn College","2011","51"
"211608","Cheyney University of Pennsylvania","2011","24"
"212009","Dickinson College","2011","84"
"212197","Elizabethtown College","2011","79"
"212577","Franklin and Marshall College","2011","85"
"212674","Gettysburg College","2011","85"
"212805","Grove City College","2011","82"
"212911","Haverford College","2011","92"
"213251","Juniata College","2011","76"
"213303","Keystone College","2011","39"
"213358","La Roche College","2011","51"
"213385","Lafayette College","2011","88"
"213668","Lycoming College","2011","70"
"213996","Messiah College","2011","74"
"214157","Moravian College","2011","76"
"214175","Muhlenberg College","2011","86"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2011","66"
"214625","Pennsylvania State University-Penn State New Kensington","2011","40"
"214634","Pennsylvania State University-Penn State Shenango","2011","44"
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2011","47"
"214652","Pennsylvania State University-Penn State Worthington Scranton","2011","46"
"214670","Pennsylvania State University-Penn State Lehigh Valley","2011","47"
"214689","Pennsylvania State University-Penn State Altoona","2011","65"
"214698","Pennsylvania State University-Penn State Beaver","2011","47"
"214704","Pennsylvania State University-Penn State Berks","2011","55"
"214731","Pennsylvania State University-Penn State Brandywine","2011","37"
"214786","Pennsylvania State University-Penn State Greater Allegheny","2011","47"
"214801","Pennsylvania State University-Penn State Abington","2011","44"
"214810","Pennsylvania State University-Penn State Schuylkill","2011","47"
"214829","Pennsylvania State University-Penn State York","2011","45"
"214883","Peirce College","2011","27"
"215266","University of Pittsburgh-Bradford","2011","48"
