"unitid","institution name","year","HD2017.Carnegie Classification 2015: Basic","IC2017.Religious affiliation","DRVHR2017.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2017.Graduation rate - Bachelor degree within 6 years, total","DRVADM2017.Percent admitted - total","DRVADM2017.Admissions yield - total","ADM2017.SAT Evidence-Based Reading and Writing 25th percentile score","ADM2017.SAT Evidence-Based Reading and Writing 75th percentile score","ADM2017.SAT Math 25th percentile score","ADM2017.SAT Math 75th percentile score","ADM2017.ACT Composite 25th percentile score","ADM2017.ACT Composite 75th percentile score","F1617_F2.Total expenses","F1617_F2.Instruction-Total amount","F1617_F2.Value of endowment assets at the end of the fiscal year"
"151810","Martin University","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","43188","6",,,,,,,,,"6006416","1119078",
"152099","Oakland City University","2017","Baccalaureate Colleges: Diverse Fields","General Baptist","47348","49","71","24","469","583","480","570","18","24","25126091","8937008","5046151"
"152266","Purdue University-North Central Campus","2017","Baccalaureate Colleges: Diverse Fields",,,,,,,,,,,,,,
"152363","Saint Josephs College","2017","Baccalaureate Colleges: Diverse Fields",,,,,,,,,,,,,,
"152381","Saint Mary-of-the-Woods College","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","46711","57","76","30","450","550","440","520","18","23","19222696","8493913","13339557"
"152390","Saint Mary's College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Roman Catholic","66929","79","78","25","530","630","500","620","23","29","59902271","23747553","177882580"
"152530","Taylor University","2017","Baccalaureate Colleges: Diverse Fields","Interdenominational","60320","79","87","31","530","650","515","640","22","29","65083000","23265570","87026000"
"152567","Trine University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","67928","55","70","24","480","570","490","590","22","28","55011335","18720343","32027839"
"152673","Wabash College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","78114","77","63","28","530","630","540","650","23","28","51317829","14314404","340245157"
"152992","Briar Cliff University","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","51726","42",,,,,,,,,"23786410","7950366","13015759"
"153001","Buena Vista University","2017","Baccalaureate Colleges: Diverse Fields","Presbyterian Church (USA)","63992","60","64","22","498","573","488","570","19","24","44211992","15689460","135029495"
"153108","Central College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Reformed Church in America","64796","69","70","11","480","610","470","610","21","26","45422100","16427312","76453480"
"153126","Clarke University","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","54701","63","63","22","470","583","500","565","20","25","25933048","9287342","26910533"
"153144","Coe College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Presbyterian Church (USA)","64164","69","56","10","533","648","540","678","22","28","40888280","14392460","91285572"
"153162","Cornell College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","64366","68","65","20","550","675","550","665","23","29","38945967","13603081","74501908"
"153250","Dordt College","2017","Baccalaureate Colleges: Diverse Fields","Christian Reformed Church","57090","64","72","36","530","660","520","660","22","28","39598682","14918270","40990427"
"153375","Grand View University","2017","Baccalaureate Colleges: Diverse Fields","Evangelical Lutheran Church","58283","50","93","44","440","560","450","590","18","23","35858321","11527401","22563514"
"153384","Grinnell College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Not applicable","99531","87","29","26","640","740","670","770","30","34","125816000","44609000","1871046000"
"153621","Iowa Wesleyan University","2017","Baccalaureate Colleges: Diverse Fields","United Methodist","54454","27","50","9","430","480","450","500","18","21","14868040","3888362","17218501"
"153825","Loras College","2017","Baccalaureate Colleges: Diverse Fields","Roman Catholic","57276","68","95","31","505","575","528","598","20","26","38800423","10118392","33468602"
"153834","Luther College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Evangelical Lutheran Church","69091","80","65","19","503","640","520","665","23","28","79637743","30566367","161084410"
"154101","Northwestern College","2017","Baccalaureate Colleges: Diverse Fields","Reformed Church in America","58585","68","68","21","490","600","505","635","21","27","28416908","9798289","49413216"
"154350","Simpson College","2017","Baccalaureate Colleges: Arts & Sciences Focus","United Methodist","58643","68","84","29","540","630","530","590","21","27","40540478","15460169","84607132"
"154518","Waldorf University","2017","Baccalaureate Colleges: Diverse Fields","Not applicable","45002","29","72","29","470","560","460","550","18","22",,,
"154527","Wartburg College","2017","Baccalaureate Colleges: Arts & Sciences Focus","Evangelical Lutheran Church","59440","65","77","14","470","563","478","603","21","27","49935792","15251342","73859094"
