"unitid","institution name","year","IC2015.Religious affiliation","DRVHR2015.Average salary equated to 9 months of full-time instructional staff - all ranks","DRVGR2015.Graduation rate - Bachelor degree within 6 years, total","DRVADM2015.Percent admitted - total","DRVADM2015.Admissions yield - total","ADM2015.SAT Critical Reading 25th percentile score","ADM2015.SAT Critical Reading 75th percentile score","ADM2015.SAT Math 25th percentile score","ADM2015.SAT Math 75th percentile score","ADM2015.ACT Composite 25th percentile score","ADM2015.ACT Composite 75th percentile score","F1415_F2.Total expenses","F1415_F2.Instruction-Total amount","F1415_F2.Value of endowment assets at the end of the fiscal year"
"165671","Emmanuel College","2015","Roman Catholic","77796","64","78","12",,,,,,,"63549463","18079793","97348222"
"165936","Gordon College","2015","Interdenominational","61821","69","93","26","480","620","470","610","23","29","64195837","20191831","44316144"
"166018","Hampshire College","2015","Not applicable","83439","68","70","26",,,,,,,"56527802","21039226","46106969"
"166124","College of the Holy Cross","2015","Roman Catholic","92502","92","37","30",,,,,,,"165926147","61882979","721671407"
"166939","Mount Holyoke College","2015","Not applicable","88092","85","50","27",,,,,,,"137667431","52378169","703010972"
"166948","Mount Ida College","2015","Not applicable","48195","40","63","30","400","510","400","500","16","22","39771262","11442047","15952578"
"167251","Newbury College","2015","Not applicable","57717","38","79","13",,,,,,,"18770433","5850824","2100000"
"167288","Massachusetts College of Liberal Arts","2015","Not applicable","77688","52","73","18","440","580","450","550","21","25",,,
"167455","Pine Manor College","2015","Not applicable","55566","28","71","30","340","430","340","440",,,"17570092","4412948","9042867"
"167792","Bard College at Simon's Rock","2015","Not applicable","50706",,"89","66",,,,,,,"20946655","6213643","8541581"
"167835","Smith College","2015","Not applicable","105084","87","38","32",,,,,,,"222384249","88753223","1781763199"
"167996","Stonehill College","2015","Roman Catholic","81270","87","75","15",,,,,,,"90799290","33075161","188638643"
"168218","Wellesley College","2015","Not applicable","105408","93","30","43","640","740","650","750","27","33","213677000","96091000","1881031000"
"168281","Wheaton College","2015","Not applicable","83718","79","65","15",,,,,,,"76986562","28731505","194729080"
"168342","Williams College","2015","Not applicable","80307","96","18","45","670","780","660","770","31","34","221675489","90586313","2265857318"
"168528","Adrian College","2015","United Methodist","70101","54","61","16","408","540","440","573","19","24","44724557","13852128","31441157"
"168546","Albion College","2015","United Methodist","66114","65","80","21","500","600","440","560","21","27","55025646","19002608","181488489"
"168591","Alma College","2015","Presbyterian Church (USA)","65871","62","68","20","518","650","510","670","21","27","46783052","16160970","114761906"
"169080","Calvin College","2015","Christian Reformed Church","74322","74","74","33","520","670","530","670","23","30","124675889","55050917","128435593"
"169363","Concordia University-Ann Arbor","2015","Lutheran Church - Missouri Synod","40041","43","70","23",,,,,"19","23","18458019","6241564","6986644"
"170286","Hillsdale College","2015","Not applicable","59724","77","50","40","620","750","580","660","27","31","108074147","41415567","493509003"
"170301","Hope College","2015","Reformed Church in America","72477","76","72","25","540","650","550","670","24","29","108230630","35664027","203272754"
"170532","Kalamazoo College","2015","Not applicable","74043","83","72","21",,,,,,,"51823867","21511216","219847239"
"170639","Lake Superior State University","2015","Not applicable","58140","40","92","29","390","530","450","560","19","25",,,
"170967","Rochester College","2015","Churches of Christ","50823","33","58","33","390","480","415","510","17","23","13299274","4608318","2937138"
"171599","Olivet College","2015","United Church of Christ","52371","45","57","13","390","540","370","590","17","22","18926904","5184601","17561038"
"171881","Kuyper College","2015","Other Protestant","47151","60","71","33",,,"395","570","19","24","6445248","2726328","8127456"
"172440","Finlandia University","2015","Evangelical Lutheran Church","45837","29","46","25","370","500","380","490","16","21","13113588","3983978","4874990"
"173142","Bethany Lutheran College","2015","Other (none of the above)","58455","49","85","46","570","620","560","710","20","26","17818318","6814995","43004782"
"173258","Carleton College","2015","Not applicable","104175","95","21","35","660","750","660","770","29","33","127690800","54948280","783456362"
"173300","Concordia College at Moorhead","2015","Evangelical Lutheran Church","64557","73","78","29",,,,,,,"83028807","28885869","110992267"
"173647","Gustavus Adolphus College","2015","Evangelical Lutheran Church","62559","82","67","20",,,,,,,"85464090","37081362","141800724"
"173902","Macalester College","2015","Presbyterian Church (USA)","86922","90","39","25","620","730","620","740","29","32","105913000","40822000","777358000"
"174075","University of Minnesota-Crookston","2015","Not applicable","63081","45","77","28","430","530","450","560","19","25",,,
"174251","University of Minnesota-Morris","2015","Not applicable","63027","65","60","19","500","660","510","640","22","28",,,
"174394","Sanford-Brown College-Mendota Heights","2015","Not applicable","42129","33",,,,,,,,,,,
"174437","North Central University","2015","Assemblies of God Church","60030","44","54","49","430","550","440","560","19","25","25193956","7495794","3287514"
"174747","College of Saint Benedict","2015","Roman Catholic","74034","85","74","35","490","590","450","570","22","27","63590703","22562734","57787721"
"174792","Saint Johns University","2015","Roman Catholic","73170","77","74","38","470","560","450","581","23","28","73867398","25840263","169513293"
"174844","St Olaf College","2015","Evangelical Lutheran Church","78165","87","36","28","560","710","580","700","26","31","117457808","50833644","456240248"
"174862","Crown College","2015","Christ and Missionary Alliance Church","45756","58","53","29","410","535","410","550","19","25","18381952","3646773","7667075"
"175430","Blue Mountain College","2015","Southern Baptist","44100","55","99","45",,,,,"18","24","8374941","3635572","13232193"
"175980","Millsaps College","2015","United Methodist","68067","66","53","12","520","630","525","630","23","28","37729528","12934682","117902842"
"176318","Rust College","2015","United Methodist","42813","33","41","11",,,,,"14","18","17302691","4364414","32349933"
"176406","Tougaloo College","2015","United Church of Christ","42147","42","39","17","350","450","360","500","15","20","25152293","4947652","11912330"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2015","United Methodist","53172","50","58","35","423","508","445","548","20","25","32136088","15810707","35787000"
"177144","Culver-Stockton College","2015","Christian Church (Disciples of Christ)","47556","52","56","16","400","540","430","520","18","23","18583695","5553037","21769961"
"177542","Hannibal-LaGrange University","2015","Southern Baptist","43344","45","59","54",,,,,,,"16462135","5055920","6571097"
"177551","Harris-Stowe State University","2015","Not applicable","49500","7",,,,,,,,,,,
"178341","Missouri Southern State University","2015","Not applicable","54171","30","94","44",,,,,"19","25",,,
"178369","Missouri Valley College","2015","Presbyterian Church (USA)","39456","29","46","30",,,,,,,"18637664","5554819","5595784"
"178387","Missouri Western State University","2015","Not applicable","60057","29",,,,,,,,,,,
"178697","College of the Ozarks","2015","Presbyterian Church (USA)","64260","73","12","89","455","498","495","561","21","25","49451147","15154884","442272293"
"179946","Westminster College","2015","Presbyterian Church (USA)","51759","66","64","21","428","535","530","615","21","26","23500022","6164959","56598223"
"179955","William Jewell College","2015","Not applicable","58374","62","49","34","500","640","490","620","23","28","34804648","10933601","66659800"
"180106","Carroll College","2015","Roman Catholic","58671","64","64","17","480","600","490","600","22","27","37384995","11330500","52045530"
"180258","University of Providence","2015","Roman Catholic","45900","38","60","12",,,,,,,"15611377","3773514","9997634"
"180416","Montana Tech of the University of Montana","2015","Not applicable","65088","36","89","47","520","600","530","640","23","27",,,
"180522","Montana State University-Northern","2015","Not applicable","49032","25","100","48","410","528","400","478","16","21",,,
"180595","Rocky Mountain College","2015","United Church of Christ","53037","44","70","24","450","550","450","550","20","25","22801491","8716823","26149773"
"180692","The University of Montana-Western","2015","Not applicable","55737","40",,,,,,,,,,,
"181020","Doane University-Arts & Sciences","2015","Not applicable","58698","61","77","23","430","510","460","550","20","26","38124748","12260477","112933697"
"181093","Grace University","2015","Interdenominational","45072","39","59","55","393","590","373","585","19","24","9234802","4691726","1957264"
"181127","Hastings College","2015","Presbyterian Church (USA)","55764","58","71","24","430","500","430","500","20","26","29563957","9222010","85104157"
"181330","Midland University","2015","Evangelical Lutheran Church","53424","43","61","29","420","490","407","510","18","23","24123074","6327566","12654497"
"181738","Union College","2015","Seventh Day Adventist","49617","54","56","22",,,"450","570","19","26","24616172","8779513","20197976"
"181853","York College","2015","Churches of Christ","48987","36","44","41",,,"400","490","18","22","9547174","2274522","11156614"
"182634","Colby-Sawyer College","2015","Not applicable","64440","51","90","14",,,,,,,"36256883","10892605","38417755"
"183071","University of New Hampshire at Manchester","2015","Not applicable","87552","50","73","41","470","550","450","550",,,,,
"183239","Saint Anselm College","2015","Roman Catholic","73602","73","73","18",,,,,,,"70704883","24269399","130027419"
"183257","Granite State College","2015","Not applicable","44667","23",,,,,,,,,,,
"183275","Thomas More College of Liberal Arts","2015","Roman Catholic","42345","72","97","42",,,,,,,"4245021","1059149","43668"
"183822","Bloomfield College","2015","Presbyterian Church (USA)","72261","31","60","24","380","470","390","480","15","19","44797924","16389860","13062407"
"184348","Drew University","2015","United Methodist","81999","67","70","17",,,,,,,"84619000","28919000","166693000"
"189088","Bard College","2015","Not applicable","99162","78","32","20",,,,,,,"165186838","75749731","157293603"
"189097","Barnard College","2015","Not applicable","112887","91","20","49","640","730","620","720","29","32","150108000","56116000","296517000"
"189848","Cazenovia College","2015","Not applicable","62334","58","81","13",,,,,,,"25305175","9726776","31256176"
"190099","Colgate University","2015","Not applicable","102798","90","27","32","620","720","630","730","30","33","181090132","72481553","892548824"
"190248","Concordia College-New York","2015","Lutheran Church - Missouri Synod","61290","41","71","19","400","500","390","500",,,"24822337","6838741","8941376"
"190372","Cooper Union for the Advancement of Science and Art","2015","Not applicable","114120","81",,,,,,,,,"77977921","24399087","738487768"
"190646","CUNY Medgar Evers College","2015","Not applicable","86922","19","99","14",,,,,,,,,
"190655","CUNY New York City College of Technology","2015","Not applicable","81531","30","74","27",,,,,,,,,
"190691","CUNY York College","2015","Not applicable","84240","27","40","18","390","470","410","500",,,,,
"190983","Elmira College","2015","Not applicable","52011","55","76","14",,,,,,,"46758277","13206633","41246396"
"191205","Five Towns College","2015","Not applicable","54099","30","60","52",,,,,,,,,
"191515","Hamilton College","2015","Not applicable","104076","92","25","35",,,,,,,"141027000","60463000","919578000"
"191533","Hartwick College","2015","Not applicable","72810","54","81","13",,,,,,,"49831177","18589677","70588637"
"191621","Hilbert College","2015","Roman Catholic","55080","50","82","25",,,,,,,"16664553","5692622","6367499"
"191630","Hobart William Smith Colleges","2015","Not applicable","86238","81","56","25",,,,,,,"106581300","35575435","199977634"
"191676","Houghton College","2015","Wesleyan","52263","72","95","37","485","630","470","610","21","29","32161682","10963723","46414117"
"192864","Marymount Manhattan College","2015","Not applicable","75411","42","84","14","470","590","440","550","20","26","50846582","18372755","18723910"
"194392","Paul Smiths College of Arts and Science","2015","Not applicable","49185","40","69","25",,,,,,,"25988380","6090271","26701075"
"195173","St Francis College","2015","Not applicable","81909","52","79","25","410","500","400","500","17","22","49472771","19776514",
"195216","St Lawrence University","2015","Not applicable","80253","87","46","25",,,,,,,"118509185","42619116","282085578"
"195304","Sarah Lawrence College","2015","Not applicable","89199","79","53","24",,,,,,,"79065433","36284963","91180191"
"195474","Siena College","2015","Roman Catholic","73440","75","76","14",,,,,,,"99169823","32369983","132158170"
"195526","Skidmore College","2015","Not applicable","82962","86","36","22","550","670","560","673","26","30","152974000","56214000","350042000"
"196042","Farmingdale State College","2015","Not applicable","74187","49","44","44","450","530","460","550","19","23",,,
"196219","SUNY at Purchase College","2015","Not applicable","65196","58","41","24","490","610","470","570","22","27",,,
"196866","Union College","2015","Not applicable","87363","88","38","25",,,,,,,"126092408","46818781","441000000"
"197027","United States Merchant Marine Academy","2015","Not applicable","88641","68","22","71","570","610","620","640",,,,,
"197036","United States Military Academy","2015","Not applicable","83781","83","10","83","580","680","610","710","26","31",,,
"197133","Vassar College","2015","Not applicable","102555","91","26","34","670","750","660","740","30","33","177938000","73500000","982970740"
"197230","Wells College","2015","Not applicable","63711","46","63","12","450","550","450","540","21","25","21917458","4843982","33967166"
"197911","Barton College","2015","Christian Church (Disciples of Christ)","53019","40","42","18","420","510","430","540","18","23","23855851","7209546","27833432"
"197984","Belmont Abbey College","2015","Roman Catholic","40572","43","68","23","450","570","450","560","19","25","27946009","7233560","9200732"
"197993","Bennett College","2015","United Methodist","45459","44","95","11",,,,,,,"18170969","5841795","12022770"
"198066","Brevard College","2015","United Methodist","45819","38","41","19",,,,,,,"16502066","5152893","24230180"
"198215","Catawba College","2015","Not applicable","59211","47","32","31","430","550","440","560","18","24","47229110","9813887","56818000"
"198303","Chowan University","2015","Southern Baptist","58653","24","62","19","350","430","350","430","14","17","25109373","7296876","25099979"
"198385","Davidson College","2015","Presbyterian Church (USA)","108720","93","22","43","630","720","630","720","29","32","123268083","38960564","681560020"
"198598","Greensboro College","2015","United Methodist","53226","39","75","27","400","510","400","510","16","20","18057686","5680388","20461845"
