"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"180692","The University of Montana-Western","2010","Not applicable",,,"47850","29",,,,,,,,,
"181020","Doane University-Arts & Sciences","2010","United Church of Christ","83","27","57001","55","415","570","465","535","20","26","31066858","9764537","78363397"
"181093","Grace University","2010","Interdenominational","58","53","45023","37","440","670","500","640","19","26","7000453","2838016","1667722"
"181127","Hastings College","2010","Presbyterian Church (USA)","72","24","55485","65","460","570","490","610","20","26","23656297","8467510","49893135"
"181330","Midland University","2010","Evangelical Lutheran Church","69","39","43074","52","430","540","440","540","19","24","16395875","4808709","12146962"
"181738","Union College","2010","Seventh Day Adventists","61","33","51107","57","460","550","290","580","19","27","24457395","7541659","12088447"
"181853","York College","2010","Churches of Christ","64","44","42603","34","410","510","410","510","18","24","8891020","1917612","6916917"
"182634","Colby-Sawyer College","2010","Not applicable","77","16","57394","63",,,,,,,"32101843","7752933","24535457"
"183071","University of New Hampshire at Manchester","2010","Not applicable","77","65","80964","36","440","550","440","560",,,,,
"183239","Saint Anselm College","2010","Roman Catholic","77","19","68266","74","490","590","490","590","21","26","62800103","19467195","78479175"
"183257","Granite State College","2010","Not applicable",,,,"54",,,,,,,,,
"183275","Thomas More College of Liberal Arts","2010","Roman Catholic",,,"48215","45",,,,,,,"2386854","854329","30082"
"183822","Bloomfield College","2010","Presbyterian Church (USA)","49","27","75081","29","380","450","380","470",,,"38857628","14348802","8498914"
"184348","Drew University","2010","United Methodist","80","11","79798","71","510","630","490","610","22","26","84488379","32743141","163535000"
"189088","Bard College","2010","Not applicable","35","25","90769","76",,,,,,,"127413491","55018295","0"
"189097","Barnard College","2010","Not applicable","28","45","98535","88","630","730","620","710","28","32","119015407","43975606","184014662"
"189848","Cazenovia College","2010","Not applicable","70","15","56057","45","430","540","420","520","18","24","24217215","9288090","23542458"
"190099","Colgate University","2010","Not applicable","33","33","94580","88","630","720","640","740","29","32","155231541","59438729","619215674"
"190248","Concordia College-New York","2010","Lutheran Church - Missouri Synod","71","23","51196","45","410","490","410","500","17","21","17119090","5368739","7993920"
"190372","Cooper Union for the Advancement of Science and Art","2010","Not applicable","8","76","98207","89","610","730","610","780","29","33","66829650","23943089","579152118"
"190646","CUNY Medgar Evers College","2010","Not applicable",,,"85011","23",,,,,,,,,
"190655","CUNY New York City College of Technology","2010","Not applicable","84","27","78622","24","370","475","425","530",,,,,
"190691","CUNY York College","2010","Not applicable","41","24","79300","20","400","470","420","500",,,,,
"190983","Elmira College","2010","Not applicable","82","22","49477","63","490","600","480","590","24","27","41194902","11718693","30425582"
"191205","Five Towns College","2010","Not applicable","66","54","44148","44","400","490","400","490","18","22",,,
"191515","Hamilton College","2010","Not applicable","29","33","91978","88","650","740","650","730","27","31","114247000","49614000","607490000"
"191533","Hartwick College","2010","Not applicable","76","18","64303","56","490","590","500","600","22","26","42979694","16373571","52260028"
"191621","Hilbert College","2010","Roman Catholic","76","32","52880","40",,,,,,,"14112019","5027917","3267434"
"191630","Hobart William Smith Colleges","2010","Not applicable","62","21","81042","75",,,,,,,"85629075","28659512","165864735"
"191676","Houghton College","2010","Wesleyan","83","35","54125","68","530","650","480","620","24","29","34292690","13328468","34152289"
"192864","Marymount Manhattan College","2010","Not applicable","70","21","68710","49","490","600","460","560","21","26","46356185","16137385","14017145"
"194392","Paul Smiths College of Arts and Science","2010","Not applicable","78","39","47072","45","410","530","420","540","18","24","22425476","6222694","16268897"
"195173","St Francis College","2010","Not applicable","71","36","73870","52","410","520","410","510",,,"38290308","13957367","59577075"
"195216","St Lawrence University","2010","Not applicable","39","32","76016","83",,,,,,,"109128660","36115189","204359000"
"195304","Sarah Lawrence College","2010","Not applicable","58","29","86763","77",,,,,,,"68550836","32003934","66803789"
"195474","Siena College","2010","Roman Catholic","60","18","80506","80","510","610","530","630","22","26","90353589","27772274","112687479"
"195526","Skidmore College","2010","Not applicable","47","27","75607","84","570","680","570","660","26","30","129966000","50451000","272995000"
"196042","Farmingdale State College","2010","Not applicable","40","59","82759","32","440","520","510","570",,,,,
"196219","SUNY at Purchase College","2010","Not applicable","31","24","74879","55","510","620","480","580","22","26",,,
"196866","Union College","2010","Not applicable","42","26","86339","83",,,,,,,"109827395","39104938","297100000"
"197027","United States Merchant Marine Academy","2010","Not applicable",,,"108675","78",,,,,,,,,
"197036","United States Military Academy","2010","Not applicable","13","82","77488","86","560","670","580","680","25","30",,,
"197133","Vassar College","2010","Not applicable","24","36","91374","93","670","740","640","720","29","33","164403958","71554851","713062555"
"197230","Wells College","2010","Not applicable","71","12","55507","63","480","580","450","570","20","26","26425495","5366804","27897295"
"197911","Barton College","2010","Christian Church (Disciples of Christ)","49","17","47851","37","400","560","430","590","17","22","25346012","6759258","21791574"
"197984","Belmont Abbey College","2010","Roman Catholic","71","26","42745","37","430","550","460","540","19","25","24039767","5786466","7666276"
"197993","Bennett College","2010","United Methodist","57","19","45980","47",,,,,,,"22599352","5710912","9780425"
"198066","Brevard College","2010","United Methodist","53","28","44332","34","400","500","410","510","18","22","18208891","5537656","18116796"
"198215","Catawba College","2010","Not applicable","55","34","54439","57","420","540","450","560",,,"40353280","9054186","34141847"
"198303","Chowan University","2010","Southern Baptist","59","28","49094","29","360","450","360","450","14","19","16480457","4554631","18099854"
"198385","Davidson College","2010","Presbyterian Church (USA)","29","42","93513","91","630","720","630","710","28","32","90916570","29310232","431200863"
"198598","Greensboro College","2010","United Methodist","41","23","51634","43","387","594","395","608","15","25","20309710","7676078","19820024"
"198613","Guilford College","2010","Friends","53","17","55743","58","460","620","480","600","20","27","56860562","16874601","62983602"
"198695","High Point University","2010","United Methodist","68","30","58424","56","480","580","490","600","21","26","81054894","20403912","32771340"
"198756","Johnson C Smith University","2010","Not applicable","25","20","56401","39","390","470","400","475","17","20","41573950","11175513","45189763"
"198808","Lees-McRae College","2010","Presbyterian Church (USA)","63","26","39443","23","393","580","382","577","16","27","15936479","3792563","17746904"
"198862","Livingstone College","2010","African Methodist Episcopal Zion Church","41","29","47046","35","330","410","310","420","12","15","22931340","4236655","1316986"
"198899","Mars Hill University","2010","Not applicable","59","19","46528","35","410","520","430","540","17","23","27781725","7038284","33165783"
"198950","Meredith College","2010","Not applicable","65","46","63153","60","460","570","460","570","18","24","55697632","19391978","68495815"
"199069","University of Mount Olive","2010","Original Free Will Baptist","50","37","55303","44","410","490","420","520","15","20","35357205","9597240","24074063"
"199111","University of North Carolina at Asheville","2010","Not applicable","76","34","67939","55","540","640","530","630","23","27",,,
"199209","North Carolina Wesleyan College","2010","United Methodist","63","21","46524","18","380","480","400","510",,,"20328853","6282210","8512948"
"199272","William Peace University","2010","Presbyterian Church (USA)","61","22","54370","35","420","520","420","500","16","21","17967550","4521628","40641366"
"199582","Saint Augustine's University","2010","Protestant Episcopal","36","32","44714","23","330","420","320","420","13","17","36154727","10472014","16068888"
"199607","Salem College","2010","Moravian Church","67","38","53087","57","460","600","450","590","19","25","20903777","5781260","43768729"
"199643","Shaw University","2010","Baptist","44","23","48838","28",,,,,,,"46369960","13657703","8740652"
"199698","St. Andrews University","2010","Presbyterian Church (USA)",,,"41467","43",,,,,,,"15647523","4839671","15361948"
"199865","Warren Wilson College","2010","Presbyterian Church (USA)","74","25","47171","49","550","670","510","620","23","29","30615274","9963772","47924243"
"200059","Dickinson State University","2010","Not applicable","97","55","54123","38","380","540","410","550","19","24",,,
"200156","University of Jamestown","2010","Presbyterian Church (USA)","64","43","49044","41","420","510","410","540","20","25","15757374","5783722","23663961"
"200226","Mayville State University","2010","Not applicable",,,"47486","30",,,,,,,,,
"200572","Valley City State University","2010","Not applicable","86","70","49381","40","420","520","410","510","18","23",,,
"201371","Bluffton University","2010","Mennonite Church","61","20","51640","58","440","610","410","590","18","24","21721263","8136100","16105249"
"201654","Cedarville University","2010","Baptist","75","38","59030","67","530","650","530","650","24","28","74461611","32545540","16146659"
"201690","Central State University","2010","Not applicable","22","26","57289","19","330","430","320","430","14","18",,,
"201964","Ohio Christian University","2010","Other Protestant","68","64","36985","31",,,,,,,"11882824","4903885","2289683"
"202514","Defiance College","2010","United Church of Christ","67","23","50577","45","430","530","460","540","18","23","16805625","5683884","10923638"
"202523","Denison University","2010","Not applicable","49","27","70310","83","600","700","590","680","27","30","103044708","37310333","573077153"
"203128","Hiram College","2010","Not applicable","88","26","52484","68","470","600","470","600","20","27","34201104","11364370","56057812"
"203535","Kenyon College","2010","Not applicable","39","30","76200","86","640","740","610","690","28","32","85218598","31163036","158752274"
"203845","Marietta College","2010","Not applicable","70","16","58132","59","480","620","490","620","21","26","41597312","17727815","55667877"
"204185","University of Mount Union","2010","United Methodist","73","32","67995","63","430","550","460","560","20","25","48993982","17808688","115124000"
"204501","Oberlin College","2010","Not applicable","31","36","84945","88","650","740","630","710","28","32","149233578","70477354","645175092"
"204635","Ohio Northern University","2010","United Methodist","81","24","72584","66","520","630","560","670","24","29","92294136","49144689","121874022"
"204671","Ohio State University-Lima Campus","2010","Not applicable",,,"69606","36",,,,,,,,,
"204909","Ohio Wesleyan University","2010","United Methodist","69","19","66671","63","520","650","520","650","23","29","63800784","22975705","158604900"
"205443","Shawnee State University","2010","Not applicable",,,"56555","21",,,,,,,,,
"206330","Urbana University","2010","Not applicable",,,"44842","29",,,,,,,"16589764","6414315","2980446"
"206491","Wilberforce University","2010","African Methodist Episcopal","28","18","42039","27",,,,,,,"14732039","4400673","10758353"
"206507","Wilmington College","2010","Friends","88","24","52169","45","410","550","420","530","19","24","22796427","7558320","24361334"
"206525","Wittenberg University","2010","Lutheran Church in America","72","21","64477","66","500","620","500","620","22","28","58501329","23367327","88469627"
"206589","The College of Wooster","2010","Not applicable","67","20","65466","77","560","670","550","670","24","29","72966328","23939125","228864581"
"206613","Wright State University-Lake Campus","2010","Not applicable",,,"75954","24",,,,,,,,,
"207351","Oklahoma Panhandle State University","2010","Not applicable","100","86","38659","37","375","480","417","525","16","21",,,
"207403","Oklahoma Baptist University","2010","Baptist","67","16","47699","53","470","610","480","610","21","27","31058545","10620031","86619801"
"207661","Rogers State University","2010","Not applicable","50","79","51830","12",,,,,"17","22",,,
"207689","St. Gregory's University","2010","Roman Catholic","67","24","33694","28",,,,,,,"11206514","2360287","11425759"
"207722","University of Science and Arts of Oklahoma","2010","Not applicable","56","71","50796","32","350","780","370","460","19","26",,,
"207856","Southwestern Christian University","2010","Pentecostal Holiness Church","54","82","36554","13","460","530","460","520","18","23","3515367","1071875","743883"
"209056","Lewis & Clark College","2010","Not applicable",,,"80563","76",,,,,,,"107516621","49281930","179309669"
"209065","Linfield College-McMinnville Campus","2010","American Baptist","77","31","64385","63","480","600","500","600","21","26","57006898","26091025","67142229"
"209506","Oregon Institute of Technology","2010","Not applicable","93","51","58721","42","440","560","470","590","19","27",,,
"209922","Reed College","2010","Not applicable","43","28","88326","79","670","750","640","710","30","33","72588624","26423932","373711404"
"210304","Warner Pacific College","2010","Church of God","55","36","51320","94","440","580","430","570","17","25","14035144","4724949","6928475"
"210401","Willamette University","2010","Not applicable","43","13","81875","78","580","680","580","660","27","30","88634000","37211000","218857276"
"210492","Bryn Athyn College of the New Church","2010","Other (none of the above)","64","17","69228","17","480","600","460","580","21","27",,"3385498","227205581"
"210571","Albright College","2010","United Methodist","48","16","64285","61",,,,,,,"49294231","19956362","43959254"
"210669","Allegheny College","2010","United Methodist","59","23","71625","78","560","670","560","660","24","29","70257030","23345510","134557798"
"210906","The Art Institutes of York-PA","2010","Not applicable","53","100","41408",,,,,,,,,,
"211273","Bryn Mawr College","2010","Not applicable","48","33","83990","87","590","720","580","700","26","30","100308000","43841000","587527000"
"211291","Bucknell University","2010","Not applicable","31","41","84904","92","590","670","630","710","27","31","172663000","63057000","491495000"
"211468","Cedar Crest College","2010","Not applicable","42","26","61753","59","470","560","470","570","19","23","31809012","12617422","16117560"
"211477","Central Penn College","2010","Not applicable","48","23","45675","63",,,,,,,,,
"211608","Cheyney University of Pennsylvania","2010","Not applicable",,,"76785","24",,,,,,,,,
"212009","Dickinson College","2010","Not applicable","48","27","75590","82","600","680","600","688","27","30","107493850","39110805","277993305"
"212197","Elizabethtown College","2010","Church of Brethren","75","20","68146","78","490","600","500","610",,,"61123369","25754817","48219576"
"212577","Franklin and Marshall College","2010","Not applicable","45","29","81810","87",,,,,,,"106053254","43746463","266339000"
"212674","Gettysburg College","2010","Evangelical Lutheran Church","40","33","75056","85","610","690","610","690",,,"107766200","38102951","215153173"
"212805","Grove City College","2010","Presbyterian Church (USA)","74","53",,"83","561","687","569","679","25","30","55288976","23651572","85593603"
"212911","Haverford College","2010","Not applicable","26","38","89120","92","650","740","650","750","30","33","77127023","30098158","355500297"
"213251","Juniata College","2010","Not applicable","72","26","68314","71","530","640","530","640","22","28","47987841","14279060","64087108"
"213303","Keystone College","2010","Not applicable","94","34","55718","46","400","500","400","500","16","21","24962009","9403855","6684914"
"213358","La Roche College","2010","Roman Catholic","57","36","53917","43","400","530","400","510","16","22","22585877","7100419","3653618"
"213385","Lafayette College","2010","Presbyterian Church (USA)","42","27","92524","89","570","670","610","700","26","30","125986030","45935364","580739715"
"213668","Lycoming College","2010","United Methodist","64","26","59193","70","465","580","470","580","21","26","32275151","11317545","134857989"
"213996","Messiah College","2010","Interdenominational","67","35","64280","75","520","630","510","640","23","29","81146541","29125315","111630497"
"214157","Moravian College","2010","Moravian Church","79","24","67105","71","470","590","480","590","19","22","50798147","20653965","74065440"
"214175","Muhlenberg College","2010","Evangelical Lutheran Church","48","27","72532","86","560","680","560","680","25","31","79136147","38632892","126482000"
"214591","Pennsylvania State University-Penn State Erie-Behrend College","2010","Not applicable","87","39","74125","70","450","550","480","600","19","25",,,
"214625","Pennsylvania State University-Penn State New Kensington","2010","Not applicable","89","44","70422","41","410","520","440","550","17","22",,,
"214634","Pennsylvania State University-Penn State Shenango","2010","Not applicable","77","66","63412","30","410","530","420","520","19","22",,,
"214643","Pennsylvania State University-Penn State Wilkes-Barre","2010","Not applicable","91","37","65465","58","430","530","430","560","18","24",,,
"214652","Pennsylvania State University-Penn State Worthington Scranton","2010","Not applicable","89","43","67198","49","400","510","400","510","17","21",,,
"214670","Pennsylvania State University-Penn State Lehigh Valley","2010","Not applicable","94","30","65038","54","430","530","420","560",,,,,
"214689","Pennsylvania State University-Penn State Altoona","2010","Not applicable","87","35","60954","69","440","540","460","570","20","24",,,
"214698","Pennsylvania State University-Penn State Beaver","2010","Not applicable","93","35","64440","43","410","530","430","540","20","26",,,
"214704","Pennsylvania State University-Penn State Berks","2010","Not applicable","83","36","65534","58","440","540","460","570","18","23",,,
"214731","Pennsylvania State University-Penn State Brandywine","2010","Not applicable","85","36","70683","39","420","530","430","550","21","25",,,
"214786","Pennsylvania State University-Penn State Greater Allegheny","2010","Not applicable","86","43","65333","47","390","520","400","540","19","23",,,
"214801","Pennsylvania State University-Penn State Abington","2010","Not applicable","84","29","64626","49","410","520","430","550","16","22",,,
"214810","Pennsylvania State University-Penn State Schuylkill","2010","Not applicable","86","45","63809","44","370","480","370","480","17","21",,,
"214829","Pennsylvania State University-Penn State York","2010","Not applicable","87","29","64718","39","425","535","430","570","22","25",,,
"214883","Peirce College","2010","Not applicable",,,"58210","78",,,,,,,"19759465","7581088","111036"
"215266","University of Pittsburgh-Bradford","2010","Not applicable","83","51","60200","40","440","520","440","550","20","23",,"10112334","169577"
"215275","University of Pittsburgh-Greensburg","2010","Not applicable","74","44","56286","58","460","550","470","570","19","23",,"7787095","3291584"
"215284","University of Pittsburgh-Johnstown","2010","Not applicable","89","56","56988","56","450","540","460","570","18","23",,"14922407","23782830"
"215798","Saint Vincent College","2010","Roman Catholic","75","34","61464","77","470","580","480","600","20","26","48865509","13225803","60013481"
"216278","Susquehanna University","2010","Evangelical Lutheran Church","70","29","70222","79","500","610","520","610","22","26","66131167","23279256","93009894"
"216287","Swarthmore College","2010","Not applicable","16","40","103080","93","670","760","670","770","29","33","118902000","44560000","1249254000"
"216357","Thiel College","2010","Evangelical Lutheran Church","69","28","52013","40","410","510","420","520","18","24","25053569","6751318","20881177"
"216524","Ursinus College","2010","Not applicable","55","14","78951","81","550","660","570","660","24","28","59064241","22005631","108241916"
"216542","University of Valley Forge","2010","Assemblies of God Church","73","60","55198","100","429","540","390","540","17","25","18536205","5212364","946657"
"216667","Washington & Jefferson College","2010","Not applicable","39","15","64372","71",,,,,,,"51045126","17283929","83668287"
"216807","Westminster College","2010","Presbyterian Church (USA)","60","16","58351","79","470","580","480","590","20","25","37124562","13213820","78957289"
"217013","Wilson College","2010","Presbyterian Church (USA)","19","100","57241","56","450","560","430","540","20","23","20383568","4314409","60507944"
"217624","Allen University","2010","African Methodist Episcopal",,,"43531","8",,,,,,,"18050684","3937991",
"217721","Benedict College","2010","Baptist",,,"48756","27",,,,,,,"58646632","10963950","19573224"
"217873","Claflin University","2010","United Methodist","35","33","53598","46","410","500","390","490","15","18","40923828","13009209","16506375"
"217907","Coker College","2010","Not applicable","52","31","50718","54","450","540","440","570","18","22","18604512","6174303","19932613"
"217998","Erskine College","2010","Reformed Presbyterian Church","75","39","54614","63","460","590","480","605","21","26","20910411","7083872","39948545"
"218070","Furman","2010","Not applicable","68","21","76823","84","580","690","600","680","25","30","122472761","51360608","498281706"
"218229","Lander University","2010","Not applicable","49","45","49858","42","430","540","450","550","18","22",,,
"218238","Limestone College","2010","Not applicable","47","39","43850","40","410","520","430","550","17","24","30073704","11812001","11017994"
"218399","Morris College","2010","Baptist",,,"46193","25",,,,,,,"19649469","6575612","11415038"
"218414","Newberry College","2010","Evangelical Lutheran Church","61","39","50321","48","430","540","460","560","18","24","21041576","4711835","20795461"
"218539","Presbyterian College","2010","Presbyterian Church (USA)","68","30","61080","66","480","590","502","620","21","27","35978336","12144048","69891663"
"218645","University of South Carolina-Aiken","2010","Not applicable","51","45","55364","38","430","540","450","550","18","23",,,
"218654","University of South Carolina-Beaufort","2010","Not applicable","72","42","56393","19","420","510","420","520","17","22",,,
"218742","University of South Carolina-Upstate","2010","Not applicable","80","39","55486","39","430","520","440","530","18","22",,,
"218919","Voorhees College","2010","Protestant Episcopal","64","11","43186","28",,,,,,,"17604900","6647020","4830294"
"218973","Wofford College","2010","United Methodist","62","27","68801","83","530","650","550","660","23","28","51453500","15207528","141028050"
"219000","Augustana University","2010","Evangelical Lutheran Church","83","41","54839","67",,,,,"23","28","39077763","16797566","46943806"
"219091","Dakota Wesleyan University","2010","United Methodist","79","43","46003","38","385","550","385","582","18","26","13868297","3741039","19201111"
"219204","National American University-Rapid City","2010","Not applicable",,,"43005","35",,,,,,,,,
"220181","Fisk University","2010","Not applicable","61","19","51351","59","398","583","418","575","17","23","24340136","5664987","12611220"
"220206","Welch College","2010","Free Will Baptist Church",,,"37226","53",,,,,,,"4938380","1465541","1197355"
"220598","Lane College","2010","Christian Methodist Episcopal","35","28","44184","32",,,,,"14","17","30531339","8126878","1975150"
"220604","Le Moyne-Owen College","2010","Multiple Protestant Denomination","38","45","38430","17",,,,,"15","18","14938745","4325544","12379151"
"220701","Martin Methodist College","2010","United Methodist",,,"48771","75",,,,,,,"14014077","3898378","10399270"
"220710","Maryville College","2010","Presbyterian Church (USA)","21","100","57873","59","450","580","450","580","21","27","28359496","8083975","50573582"
"221351","Rhodes College","2010","Presbyterian Church (USA)","42","20","67144","80","570","680","580","700","26","30","62975442","26416963","252462322"
"221519","Sewanee-The University of the South","2010","Protestant Episcopal","62","23","86261","81","580","690","580","670","26","30","77182884","24374035","272487483"
"221731","Tennessee Wesleyan University","2010","United Methodist","88","61","43912","51","410","530","390","580","19","25","14694446","4961580","8274512"
"222983","Austin College","2010","Presbyterian Church (USA)","83","24","69941","79","560","670","570","680","23","28","45039125","16910224","112744406"
"224527","East Texas Baptist University","2010","Baptist","51","52","50245","36","430","520","420","550","18","23","21328194","6637886","51910072"
"225548","Howard Payne University","2010","Baptist","62","50","45906","39","420","530","450","560","18","24","19812044","7545446","38389096"
"225575","Huston-Tillotson University","2010","Multiple Protestant Denomination","96","43","48275","24","350","460","360","460","14","19","16784162","3961496","8041811"
"225885","Jarvis Christian College","2010","Christian Church (Disciples of Christ)",,,"39089","29",,,,,,,"14150336","2597295","9724472"
"226587","McMurry University","2010","United Methodist","54","36","50620","38","410","510","430","540","18","23","26077911","9931403","53909882"
"227429","Paul Quinn College","2010","African Methodist Episcopal","43","67","44254","9","420","440","430","470","18","20","8045841","1475579","5093853"
"228042","Schreiner University","2010","Presbyterian Church (USA)","60","42","50218","40","440","550","450","570","19","24","21552816","6362708","46604965"
"228343","Southwestern University","2010","United Methodist","67","23","70004","73","550","680","550","650","24","30","58887234","20669528","241783497"
"228468","Southwestern Adventist University","2010","Seventh Day Adventists","99","43","41502","42","420","540","410","530","17","24","17216484","6599607","6893040"
"228884","Texas College","2010","Christian Methodist Episcopal",,,"35155","6",,,,,,,"12307453","2291262","1442801"
"228981","Texas Lutheran University","2010","American Evangelical Lutheran Church","65","32","54817","2","430","540","460","570","19","24","30371336","8066628","67480776"
"229887","Wiley College","2010","United Methodist",,,"45379","0",,,,,,,"17587657","3974727","5617363"
"230047","Brigham Young University-Hawaii","2010","Latter Day Saints (Mormon Church)","61","52","80389","56","470","590","480","600","22","26","82923000","36290000","76804000"
"230630","Stevens-Henager College","2010","Not applicable",,,"40035","37",,,,,,,,,
"230816","Bennington College","2010","Not applicable","65","24","70302","60",,,,,,,"27856144","12056509","14019946"
"230834","Castleton University","2010","Not applicable","73","31","57235","41","430","520","440","530","18","23",,,
"230931","Lyndon State College","2010","Not applicable","98","34","56217","37","410","510","420","530","15","21",,,
"230940","Marlboro College","2010","Not applicable","88","22","52016","50",,,,,,,"14349196","5058905","33437550"
"230959","Middlebury College","2010","Not applicable","17","42","92440","91","640","740","650","740","30","33","216152000","72504000","783225000"
"231059","Saint Michael's College","2010","Roman Catholic","82","20","76009","77","510","630","510","620","22","28","75567648","25143462","58182059"
"231077","College of St Joseph","2010","Roman Catholic","70","52","40257","58","460","480","440","470","18","20","4964429","1624396","3476748"
"231086","Southern Vermont College","2010","Not applicable","80","33","45441","30","360","500","360","500","14","21","10326402","1886526","1309842"
"231095","Sterling College","2010","Not applicable","75","32","28421","50",,,,,,,"5118051","1513099","710304"
"231420","Averett University","2010","Not applicable","86","25","54231","34","410","510","420","510","17","23","19929498","6577671","17728399"
"231554","Bluefield College","2010","Baptist","47","34","44513","34","410","540","410","510","18","23","11584398","3317093","4645933"
"231581","Bridgewater College","2010","Church of Brethren","54","19","56051","64","470","580","470","570","19","24","35597133","10519671","54705757"
"232025","Emory & Henry College","2010","United Methodist","70","27","53525","57","450","540","460","560","20","26","25199536","8846823","71605236"
"232089","Ferrum College","2010","United Methodist","76","26","49000","31","410","510","400","500","16","21","29212408","7326880","36172067"
"232256","Hampden-Sydney College","2010","Not applicable","54","23","68210","68","500","610","510","620","24","27","43829676","13333633","118254385"
"232308","Hollins University","2010","Not applicable","89","30","62146","63","510","650","480","590","21","27","32202776","13299526","128694846"
"233295","Randolph-Macon College","2010","United Methodist","55","13","64002","62","490","580","490","580",,,"41970157","11635005","105227613"
"233301","Randolph College","2010","United Methodist","75","25","63060","60","500","600","495","620","19","27","25600059","8380916","137460000"
"233374","University of Richmond","2010","Not applicable","33","29","90290","87","580","680","600","700","27","31","212794386","64695696","1616548737"
"233426","Roanoke College","2010","Evangelical Lutheran Church","66","19","62265","71","490","590","490","590","20","26","57714611","22110575","105255463"
"233611","Southern Virginia University","2010","Not applicable",,,,"27",,,,,,,"12141836","3528360","450028"
"233718","Sweet Briar College","2010","Not applicable","84","36","58952","59","500","620","468","580","21","26","38442958","14517436","81878132"
"233897","The University of Virginia's College at Wise","2010","Not applicable","77","46","57971","48","410","520","410","520","17","22",,,
"234085","Virginia Military Institute","2010","Not applicable","56","53","72431","70","510","610","530","620","22","27",,,
"234164","Virginia Union University","2010","Baptist",,,"47720","32",,,,,,,"29410034","9372662","23271199"
"234173","Virginia Wesleyan University","2010","United Methodist","75","27","62037","45","440","550","440","550","18","24","34031594","11433899","46809429"
"234207","Washington and Lee University","2010","Not applicable","19","37","98486","93","650","730","660","730","29","32","127715000","60923000","1008161000"
"236328","University of Puget Sound","2010","Not applicable","52","18","78421","80","570","680","560","660","26","30","100850000","43280000","217691000"
"237057","Whitman College","2010","Not applicable","47","28","74066","86","610","720","610","710","27","31","61512574","21898342","334814322"
"237118","Alderson Broaddus University","2010","American Baptist","71","24","42713","51","440","570","450","560","19","24","15290896","5894840","16024512"
"237181","Bethany College","2010","Christian Church (Disciples of Christ)","68","32","47116","58","380","510","400","510","16","24","22878866","5282178","41300160"
"237215","Bluefield State College","2010","Not applicable","79","72","54594","12","400","500","380","530","16","21",,,
"237358","Davis & Elkins College","2010","Presbyterian Church (USA)","64","25","46777","59","430","540","410","540","17","23","15834471","4837707","25002396"
"237385","Glenville State College","2010","Not applicable","78","52","47755","28","370","480","360","470","16","23",,,
"237640","Ohio Valley University","2010","Churches of Christ","56","26","39419","55","430","610","440","580","17","29","10328343","3186770","1207644"
"237792","Shepherd University","2010","Not applicable","94","48","59240","43","450","560","450","550","20","24",,,
"237899","West Virginia State University","2010","Not applicable","100","34","52501","23","340","470","330","470","17","22",,,
"237932","West Liberty University","2010","Not applicable","77","35","49037","39","400","530","420","540","17","23",,,
"237950","West Virginia University Institute of Technology","2010","Not applicable","59","53","58397","33","350","470","380","520","18","23",,,
"238333","Beloit College","2010","Not applicable","72","23","60390","77","570","700","550","680","24","30","46238483","21491548","108001442"
"238476","Carthage College","2010","Evangelical Lutheran Church","69","15","63320","58","500","610","470","630","22","27","58587381","20420347","39264845"
"239017","Lawrence University","2010","Not applicable","66","26","63444","73",,,,,,,"53872397","22281638","180257589"
"239071","Maranatha Baptist University","2010","Baptist","46","86","38206","45","490","620","450","580","20","26","14328885","3541440","195636"
"239512","Northland College","2010","United Church of Christ","79","30","50417","54","510","670","500","640","20","26","17792178","5256975","15912089"
"239628","Ripon College","2010","Not applicable","78","32","56250","71","420","550","460","610","21","27","28342851","11337604","51296011"
"239716","Saint Norbert College","2010","Roman Catholic","81","35","56186","77",,,,,"21","27","55122034","16698198","61214363"
"240338","Wisconsin Lutheran College","2010","Wisconsin Evangelical Lutheran Synod","73","42","51732","58","460","578","443","568","21","26","24657260","7432744","18225206"
"240374","University of Wisconsin-Parkside","2010","Not applicable","87","52","56907","32",,,,,"18","23",,,
"240426","University of Wisconsin-Superior","2010","Not applicable","88","48","56901","43",,,,,"19","24",,,
"241128","American University of Puerto Rico","2010","Not applicable",,,"23826","24",,,,,,,,,
"241191","Universidad Adventista de las Antillas","2010","Seventh Day Adventists","88","70","27943","34",,,,,,,"8854871","3413563","134104"
"241386","Caribbean University-Carolina","2010","Not applicable",,,"16223","14",,,,,,,"1490400","351399","13952"
"241720","Colegio Universitario de San Juan","2010","Not applicable","69","100","28861","35",,,,,,,,,
"242644","Inter American University of Puerto Rico-Barranquitas","2010","Not applicable","89","72","39103","38",,,,,,,,"6751289","0"
"242680","Inter American University of Puerto Rico-Fajardo","2010","Not applicable","39","100","40126","21",,,,,,,,"6151726","0"
"242699","Inter American University of Puerto Rico-Guayama","2010","Not applicable","62","75","39807","27",,,,,,,,"5299984","0"
