"unitid","institution name","year","IC2010.Religious affiliation","DRVIC2010.Percent admitted - total","DRVIC2010.Admissions yield - total","DRVHR2010.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVGR2010.Graduation rate - Bachelor degree within 6 years, total","IC2010.SAT Critical Reading 25th percentile score","IC2010.SAT Critical Reading 75th percentile score","IC2010.SAT Math 25th percentile score","IC2010.SAT Math 75th percentile score","IC2010.ACT Composite 25th percentile score","IC2010.ACT Composite 75th percentile score","F0910_F2.Total expenses","F0910_F2.Instruction-Total amount","F0910_F2.Value of endowment assets at the end of the fiscal year"
"112394","Cogswell College","2010","Not applicable","100","94","71002","50",,,,,,,"5191790","1733588","4994"
"115409","Harvey Mudd College","2010","Not applicable","23","31","107205","87","670","760","740","800","33","35","47953282","19579424","208454344"
"115773","Humphreys University-Stockton and Modesto Campuses","2010","Not applicable",,,"47338","70",,,,,,,"8289692","3310134","152243"
"116846","American Jewish University","2010","Jewish","86","47","62028","90","440","580","450","560","19","22","22945303","3593869","21082636"
"118541","Marymount California University","2010","Roman Catholic","47","31","67612",,,,,,,,"17954823","4413135","7723463"
"120254","Occidental College","2010","Not applicable","42","23","83321","85","600","690","600","690","27","31","95968961","36753023","297923360"
"120865","Pacific Union College","2010","Seventh Day Adventists","40","50","44422","33","450","590","440","590","18","25","40181110","12840165","19287825"
"121257","Pitzer College","2010","Not applicable","26","27","86642","79","600","680","590","670",,,"46262211","21957909","94544460"
"121345","Pomona College","2010","Not applicable","15","40","104472","94","680","780","700","780","31","34","119226000","51168000","1458974000"
"122728","William Jessup University","2010","Other Protestant","49","66","50857","40","480","590","470","560","19","26","16745304","2569102","1133417"
"123165","Scripps College","2010","Not applicable","39","32","95470","82","640","740","630","710","28","32","52223088","24540050","231160168"
"124292","Thomas Aquinas College","2010","Roman Catholic","79","68","88727","73","630","730","570","670","27","31","17076508","4761885","11655497"
"125727","Westmont College","2010","Not applicable","75","27","76248","77","540","650","530","650","23","29","46980741","16781799","59137205"
"125763","Whittier College","2010","Not applicable","70","22","79636","66","460","580","470","590","20","26","61234261","25973793","65409906"
"126678","Colorado College","2010","Not applicable","34","36","90599","87","610","710","610","700","28","32","99957487","39299942","430983538"
"127185","Fort Lewis College","2010","Not applicable","65","42","54417","38",,,,,"20","25",,,
"127556","Colorado Mesa University","2010","Not applicable","80","44","55103","26","415","530","440","560","17","23",,,
"127680","National American University-Colorado Springs","2010","Not applicable",,,,"33",,,,,,,,,
"128328","United States Air Force Academy","2010","Not applicable","11","100","77471","81","600","680","630","700","29","32",,,
