"unitid","institution name","year","DRVGR2010_RV.Graduation rate - Bachelor degree within 6 years, total"
"190655","CUNY New York City College of Technology","2010","24"
"190691","CUNY York College","2010","20"
"190983","Elmira College","2010","63"
"191205","Five Towns College","2010","44"
"191515","Hamilton College","2010","88"
"191533","Hartwick College","2010","56"
"191621","Hilbert College","2010","40"
"191630","Hobart William Smith Colleges","2010","75"
"191676","Houghton College","2010","68"
"192864","Marymount Manhattan College","2010","49"
"194392","Paul Smiths College of Arts and Science","2010","45"
"195173","St Francis College","2010","52"
"195216","St Lawrence University","2010","83"
"195304","Sarah Lawrence College","2010","77"
"195474","Siena College","2010","80"
"195526","Skidmore College","2010","84"
"196042","Farmingdale State College","2010","32"
"196219","SUNY at Purchase College","2010","55"
"196866","Union College","2010","83"
"197027","United States Merchant Marine Academy","2010","78"
"197036","United States Military Academy","2010","86"
"197133","Vassar College","2010","93"
"197230","Wells College","2010","63"
"197911","Barton College","2010","37"
"197984","Belmont Abbey College","2010","37"
"197993","Bennett College","2010","47"
"198066","Brevard College","2010","34"
"198215","Catawba College","2010","57"
"198303","Chowan University","2010","29"
"198385","Davidson College","2010","91"
"198598","Greensboro College","2010","43"
"198613","Guilford College","2010","58"
"198695","High Point University","2010","56"
"198756","Johnson C Smith University","2010","39"
"198808","Lees-McRae College","2010","23"
"198862","Livingstone College","2010","35"
"198899","Mars Hill University","2010","35"
"198950","Meredith College","2010","60"
"199069","University of Mount Olive","2010","44"
"199111","University of North Carolina at Asheville","2010","55"
"199209","North Carolina Wesleyan College","2010","18"
"199272","William Peace University","2010","35"
"199582","Saint Augustine's University","2010","23"
"199607","Salem College","2010","57"
"199643","Shaw University","2010","28"
"199698","St. Andrews University","2010","43"
"199865","Warren Wilson College","2010","49"
"200059","Dickinson State University","2010","38"
"200156","University of Jamestown","2010","41"
"200226","Mayville State University","2010","30"
"200572","Valley City State University","2010","40"
"201371","Bluffton University","2010","58"
"201654","Cedarville University","2010","67"
"201690","Central State University","2010","19"
"201964","Ohio Christian University","2010","31"
"202514","Defiance College","2010","45"
"202523","Denison University","2010","83"
"203128","Hiram College","2010","68"
"203535","Kenyon College","2010","86"
"203845","Marietta College","2010","59"
"204185","University of Mount Union","2010","63"
"204501","Oberlin College","2010","88"
"204635","Ohio Northern University","2010","66"
"204671","Ohio State University-Lima Campus","2010","36"
"204909","Ohio Wesleyan University","2010","63"
"205443","Shawnee State University","2010","21"
"206330","Urbana University","2010","29"
"206491","Wilberforce University","2010","27"
"206507","Wilmington College","2010","45"
"206525","Wittenberg University","2010","66"
"206589","The College of Wooster","2010","77"
"206613","Wright State University-Lake Campus","2010","24"
"207351","Oklahoma Panhandle State University","2010","37"
"207403","Oklahoma Baptist University","2010","53"
"207661","Rogers State University","2010","12"
"207689","St. Gregory's University","2010","28"
"207722","University of Science and Arts of Oklahoma","2010","32"
"207856","Southwestern Christian University","2010","13"
"209056","Lewis & Clark College","2010","76"
"209065","Linfield College-McMinnville Campus","2010","63"
"209506","Oregon Institute of Technology","2010","42"
"209922","Reed College","2010","79"
"210304","Warner Pacific College","2010","94"
"210401","Willamette University","2010","78"
"210492","Bryn Athyn College of the New Church","2010","19"
"210571","Albright College","2010","61"
"210669","Allegheny College","2010","78"
"210906","The Art Institutes of York-PA","2010",
"211273","Bryn Mawr College","2010","87"
"211291","Bucknell University","2010","92"
"211468","Cedar Crest College","2010","59"
